seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1567192	1567491	300	*	X00077	8510	1567560	1570030	2471	+	68	upstream	68	MMP23B
chr1	1567803	1567887	85	*	X00078	8510	1567560	1570030	2471	+	0	inside	242	MMP23B
chr1	1822775	1822899	125	*	X00083	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1822956	1823044	89	*	X00084	2782	1716725	1822526	105802	-	429	upstream	429	GNB1
chr1	1823165	1823299	135	*	X00085	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1850715	1850799	85	*	X00087	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1935072	1935176	105	*	X00088	85452	1884752	1935276	50525	-	0	inside	99	CFAP74
chr1	1950179	1950283	105	*	X00089	2563	1950768	1962192	11425	+	484	upstream	484	GABRD
chr1	1950614	1950633	20	*	X00090	2563	1950768	1962192	11425	+	134	upstream	134	GABRD
chr1	1950696	1950741	46	*	X00091	2563	1950768	1962192	11425	+	26	upstream	26	GABRD
chr1	1950920	1951009	90	*	X00092	2563	1950768	1962192	11425	+	0	inside	151	GABRD
chr1	1981357	1981416	60	*	X00094	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	1981622	1981713	92	*	X00095	5590	1981909	2116834	134926	+	195	upstream	195	PRKCZ
chr1	1981774	1981831	58	*	X00096	5590	1981909	2116834	134926	+	77	upstream	77	PRKCZ
chr1	1982182	1982331	150	*	X00097	5590	1981909	2116834	134926	+	0	inside	272	PRKCZ
chr1	2159407	2159510	104	*	X00105	6497	2160134	2241652	81519	+	623	upstream	623	SKI
chr1	2159526	2159705	180	*	X00106	6497	2160134	2241652	81519	+	428	upstream	428	SKI
chr1	2323483	2323752	270	*	X00112	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X00112	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X00114	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344174	2344263	90	*	X00115	5192	2336241	2344010	7770	-	163	upstream	163	PEX10
chr1	2344909	2345028	120	*	X00116	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2457713	2457877	165	*	X00118	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2517495	2517614	120	*	X00121	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2518110	2518133	24	*	X00122	127281	2517899	2522908	5010	+	0	inside	210	PRXL2B
chr1	2985207	2985263	57	*	X00131	63976	2985742	3355185	369444	+	478	upstream	478	PRDM16
chr1	2985207	2985263	57	*	X00131	440556	2976181	2984289	8109	-	917	upstream	917	PRDM16-DT
chr1	2985534	2985642	109	*	X00132	63976	2985742	3355185	369444	+	99	upstream	99	PRDM16
chr1	2985534	2985642	109	*	X00132	440556	2976181	2984289	8109	-	1244	upstream	1244	PRDM16-DT
chr1	3371117	3371189	73	*	X00139	27237	3371147	3397677	26531	+	0	overlapStart	0	ARHGEF16
chr1	3527983	3528156	174	*	X00145	1953	3404506	3528059	123554	-	0	overlapStart	0	MEGF6
chr1	3541703	3542003	301	*	X00146	127262	3541556	3546694	5139	+	0	inside	146	TPRG1L
chr1	3567435	3567478	44	*	X00147	49856	3547331	3566671	19341	-	763	upstream	763	WRAP73
chr1	3567435	3567478	44	*	X00147	7161	3569129	3652765	83637	+	1650	upstream	1650	TP73
chr1	3663507	3663656	150	*	X00149	57212	3652548	3663937	11390	-	0	inside	280	TP73-AS1
chr1	3663987	3664121	135	*	X00150	57212	3652548	3663937	11390	-	49	upstream	49	TP73-AS1
chr1	3688852	3688941	90	*	X00151	388588	3689334	3692546	3213	+	392	upstream	392	SMIM1
chr1	3688950	3689030	81	*	X00152	388588	3689334	3692546	3213	+	303	upstream	303	SMIM1
chr1	3713211	3713330	120	*	X00153	57470	3696784	3713068	16285	-	142	upstream	142	LRRC47
chr1	3774387	3774566	180	*	X00154	9731	3728645	3773797	45153	-	589	upstream	589	CEP104
chr1	3816553	3816732	180	*	X00155	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X00155	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3816823	3816882	60	*	X00156	100133612	3816968	3833879	16912	+	85	upstream	85	LINC01134
chr1	3816823	3816882	60	*	X00156	339448	3805697	3816857	11161	-	0	overlapStart	0	C1orf174
chr1	3817439	3817573	135	*	X00157	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	3817724	3817963	240	*	X00158	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	4714134	4714238	105	*	X00159	55966	4715105	4843851	128747	+	866	upstream	866	AJAP1
chr1	4714608	4714772	165	*	X00160	55966	4715105	4843851	128747	+	332	upstream	332	AJAP1
chr1	6051104	6051223	120	*	X00161	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6051809	6052158	350	*	X00162	8514	6052358	6161253	108896	+	199	upstream	199	KCNAB2
chr1	6052784	6052873	90	*	X00163	261734	5922870	6052533	129664	-	250	upstream	250	NPHP4
chr1	6052954	6053358	405	*	X00164	261734	5922870	6052533	129664	-	420	upstream	420	NPHP4
chr1	6053574	6053798	225	*	X00165	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6054159	6054181	23	*	X00166	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6240144	6240263	120	*	X00171	26038	6161847	6240194	78348	-	0	overlapStart	0	CHD5
chr1	6240879	6240968	90	*	X00172	26038	6161847	6240194	78348	-	684	upstream	684	CHD5
chr1	6265551	6265574	24	*	X00173	388591	6266189	6281359	15171	+	614	upstream	614	RNF207
chr1	6296092	6296142	51	*	X00179	23463	6281253	6296044	14792	-	47	upstream	47	ICMT
chr1	6302400	6302537	138	*	X00180	390992	6304252	6305638	1387	+	1714	upstream	1714	HES3
chr1	6302872	6302924	53	*	X00181	390992	6304252	6305638	1387	+	1327	upstream	1327	HES3
chr1	6303929	6304013	85	*	X00182	390992	6304252	6305638	1387	+	238	upstream	238	HES3
chr1	6304058	6304198	141	*	X00183	390992	6304252	6305638	1387	+	53	upstream	53	HES3
chr1	6304319	6304408	90	*	X00184	390992	6304252	6305638	1387	+	0	inside	66	HES3
chr1	6304499	6304618	120	*	X00185	390992	6304252	6305638	1387	+	0	inside	246	HES3
chr1	6321163	6321237	75	*	X00193	387509	6307406	6321035	13630	-	127	upstream	127	GPR153
chr1	6321673	6321835	163	*	X00194	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6453436	6453586	151	*	X00195	11332	6324332	6453826	129495	-	0	inside	239	ACOT7
chr1	6453872	6453976	105	*	X00196	11332	6324332	6453826	129495	-	45	upstream	45	ACOT7
chr1	6483938	6483982	45	*	X00200	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484145	79	*	X00201	83715	6484848	6521004	36157	+	702	upstream	702	ESPN
chr1	6526362	6526362	1	*	X00208	8718	6521214	6526255	5042	-	106	upstream	106	TNFRSF25
chr1	6640183	6640317	135	*	X00222	3104	6640056	6649340	9285	+	0	inside	126	ZBTB48
chr1	6640337	6640486	150	*	X00223	3104	6640056	6649340	9285	+	0	inside	280	ZBTB48
chr1	6662957	6663076	120	*	X00224	9903	6650779	6662929	12151	-	27	upstream	27	KLHL21
chr1	6673307	6673576	270	*	X00225	148479	6673756	6684093	10338	+	179	upstream	179	PHF13
chr1	6673697	6673831	135	*	X00226	148479	6673756	6684093	10338	+	0	overlapStart	0	PHF13
chr1	6673963	6674802	840	*	X00227	148479	6673756	6684093	10338	+	0	inside	206	PHF13
chr1	6844744	6844863	120	*	X00230	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	6845464	6845598	135	*	X00231	23261	6845384	7829766	984383	+	0	inside	79	CAMTA1
chr1	6845629	6845973	345	*	X00232	23261	6845384	7829766	984383	+	0	inside	244	CAMTA1
chr1	7830942	7831076	135	*	X00244	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831252	71	*	X00245	9341	7831329	7841492	10164	+	76	upstream	76	VAMP3
chr1	7831272	7831316	45	*	X00246	9341	7831329	7841492	10164	+	12	upstream	12	VAMP3
chr1	7843482	7843686	205	*	X00247	8863	7844380	7905237	60858	+	693	upstream	693	PER3
chr1	8085996	8086220	225	*	X00249	54206	8071779	8086393	14615	-	0	inside	172	ERRFI1
chr1	8877300	8877419	120	*	X00254	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877734	150	*	X00255	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9189201	9189256	56	*	X00256	80045	9164476	9189229	24754	-	0	overlapStart	0	GPR157
chr1	9189388	9189755	368	*	X00257	80045	9164476	9189229	24754	-	158	upstream	158	GPR157
chr1	9353157	9353336	180	*	X00265	80176	9352941	9429590	76650	+	0	inside	215	SPSB1
chr1	9648735	9648743	9	*	X00272	199953	9648932	9674935	26004	+	188	upstream	188	TMEM201
chr1	9648822	9648956	135	*	X00273	199953	9648932	9674935	26004	+	0	overlapStart	0	TMEM201
chr1	9884046	9884375	330	*	X00281	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	9969998	9970087	90	*	X00282	56998	9908334	9970316	61983	-	0	inside	228	CTNNBIP1
chr1	9970433	9970473	41	*	X00283	56998	9908334	9970316	61983	-	116	upstream	116	CTNNBIP1
chr1	9970579	9970792	214	*	X00284	56998	9908334	9970316	61983	-	262	upstream	262	CTNNBIP1
chr1	10057136	10057270	135	*	X00285	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10057511	10057645	135	*	X00286	116362	10057255	10076078	18824	+	0	inside	255	RBP7
chr1	10093060	10093284	225	*	X00287	10277	10093041	10241296	148256	+	0	inside	18	UBE4B
chr1	10458959	10459048	90	*	X00289	5226	10459085	10480201	21117	+	36	upstream	36	PGD
chr1	10532191	10532325	135	*	X00292	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10534932	10535265	334	*	X00293	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10856777	10856911	135	*	X00311	54897	10696666	10856733	160068	-	43	upstream	43	CASZ1
chr1	11119965	11120129	165	*	X00322	6723	11114649	11120091	5443	-	0	overlapStart	0	SRM
chr1	11120850	11120969	120	*	X00323	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160022	11160156	135	*	X00324	5394	11126676	11159938	33263	-	83	upstream	83	EXOSC10
chr1	11322310	11322414	105	*	X00326	2475	11166588	11322608	156021	-	0	inside	193	MTOR
chr1	11333210	11333232	23	*	X00327	29914	11333255	11348491	15237	+	22	upstream	22	UBIAD1
chr1	11538894	11538942	49	*	X00328	57540	11539295	11597640	58346	+	352	upstream	352	DISP3
chr1	11713163	11713372	210	*	X00332	93611	11714432	11723384	8953	+	1059	upstream	1059	FBXO44
chr1	11715054	11715137	84	*	X00333	26232	11708418	11714888	6471	-	165	upstream	165	FBXO2
chr1	11714868	11714897	30	*	X00334	26232	11708418	11714888	6471	-	0	overlapStart	0	FBXO2
chr1	11715153	11715407	255	*	X00335	26232	11708418	11714888	6471	-	264	upstream	264	FBXO2
chr1	11724335	11724679	345	*	X00336	26270	11724150	11734409	10260	+	0	inside	184	FBXO6
chr1	11751106	11751240	135	*	X00342	374946	11751781	11780336	28556	+	540	upstream	540	DRAXIN
chr1	11751586	11751975	390	*	X00343	374946	11751781	11780336	28556	+	0	overlapStart	0	DRAXIN
chr1	11751586	11751975	390	*	X00343	10459	11734537	11751678	17142	-	0	overlapStart	0	MAD2L2
chr1	11752987	11753136	150	*	X00344	10459	11734537	11751678	17142	-	1308	upstream	1308	MAD2L2
chr1	11864974	11865080	107	*	X00349	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X00350	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X00350	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11994695	11994799	105	*	X00354	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X00355	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	12079017	12079039	23	*	X00356	60672	12079299	12092106	12808	+	259	upstream	259	MIIP
chr1	12677857	12677886	30	*	X00368	9249	12627939	12677820	49882	-	36	upstream	36	DHRS3
chr1	12679687	12679705	19	*	X00369	9249	12627939	12677820	49882	-	1866	upstream	1866	DHRS3
chr1	13840162	13840476	315	*	X00371	126755	13801445	13840242	38798	-	0	overlapStart	0	LRRC38
chr1	13910312	13910446	135	*	X00372	10630	13910252	13944452	34201	+	0	inside	59	PDPN
chr1	14924670	14924774	105	*	X00376	23254	14925213	15444544	519332	+	438	upstream	438	KAZN
chr1	14924925	14924969	45	*	X00377	23254	14925213	15444544	519332	+	243	upstream	243	KAZN
chr1	15480115	15480355	241	*	X00381	200197	15438311	15478960	40650	-	1154	upstream	1154	TMEM51-AS1
chr1	15573912	15574106	195	*	X00385	114827	15573768	15726778	153011	+	0	inside	143	FHAD1
chr1	15851020	15851404	385	*	X00391	842	15817324	15851285	33962	-	0	overlapStart	0	CASP9
chr1	15851020	15851404	385	*	X00391	23341	15853352	15918874	65523	+	1947	upstream	1947	DNAJC16
chr1	15851528	15851719	192	*	X00392	842	15817324	15851285	33962	-	242	upstream	242	CASP9
chr1	15851528	15851719	192	*	X00392	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X00393	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X00393	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X00394	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X00394	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X00395	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X00396	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943990	15944109	120	*	X00397	84301	15943953	15987552	43600	+	0	inside	36	DDI2
chr1	16010262	16010784	523	*	X00398	23207	16010827	16061264	50438	+	42	upstream	42	PLEKHM2
chr1	16174985	16175044	60	*	X00404	729614	16160710	16174642	13933	-	342	upstream	342	FLJ37453
chr1	16175300	16175449	150	*	X00405	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X00406	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X00408	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16353546	16353680	135	*	X00413	1188	16355621	16383821	28201	+	1940	upstream	1940	CLCNKB
chr1	16353733	16353759	27	*	X00414	1188	16355621	16383821	28201	+	1861	upstream	1861	CLCNKB
chr1	16400313	16400402	90	*	X00418	348487	16384264	16400127	15864	-	185	upstream	185	FAM131C
chr1	16539125	16539244	120	*	X00429	128272	16524599	16539104	14506	-	20	upstream	20	ARHGEF19
chr1	16563740	16563814	75	*	X00433	79363	16558182	16563659	5478	-	80	upstream	80	CPLANE2
chr1	16693696	16693815	120	*	X00434	26099	16693525	16724643	31119	+	0	inside	170	SZRD1
chr1	17445967	17446071	105	*	X00455	11240	17393256	17445948	52693	-	18	upstream	18	PADI2
chr1	17446538	17446702	165	*	X00456	11240	17393256	17445948	52693	-	589	upstream	589	PADI2
chr1	17765870	17765959	90	*	X00463	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	17766215	17766364	150	*	X00464	55920	17733251	17766250	33000	-	0	overlapStart	0	RCC2
chr1	17767158	17767277	120	*	X00465	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18433956	18434165	210	*	X00471	84966	18434240	18704977	270738	+	74	upstream	74	IGSF21
chr1	18434211	18434279	69	*	X00472	84966	18434240	18704977	270738	+	0	overlapStart	0	IGSF21
chr1	18956242	18956262	21	*	X00478	5081	18957500	19075360	117861	+	1237	upstream	1237	PAX7
chr1	18956988	18957040	53	*	X00479	5081	18957500	19075360	117861	+	459	upstream	459	PAX7
chr1	18957213	18957332	120	*	X00480	5081	18957500	19075360	117861	+	167	upstream	167	PAX7
chr1	19283102	19283211	110	*	X00495	126917	19230774	19282826	52053	-	275	upstream	275	IFFO2
chr1	19283807	19283896	90	*	X00496	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19637976	19638335	360	*	X00497	54896	19638740	19658922	20183	+	404	upstream	404	SLC66A1
chr1	19811548	19811967	420	*	X00500	832	19665267	19812066	146800	-	0	inside	98	CAPZB
chr1	19812398	19812547	150	*	X00501	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	19991169	19991258	90	*	X00503	3362	19991780	20006055	14276	+	521	upstream	521	HTR6
chr1	19991638	19992102	465	*	X00504	3362	19991780	20006055	14276	+	0	overlapStart	0	HTR6
chr1	20512401	20512500	100	*	X00510	127733	20512578	20519942	7365	+	77	upstream	77	UBXN10
chr1	20512537	20512550	14	*	X00511	127733	20512578	20519942	7365	+	27	upstream	27	UBXN10
chr1	20617375	20617396	22	*	X00514	127731	20617412	20681387	63976	+	15	upstream	15	VWA5B1
chr1	20812318	20812722	405	*	X00524	55450	20808884	20812728	3845	-	0	inside	5	CAMK2N1
chr1	20812732	20812871	140	*	X00525	55450	20808884	20812728	3845	-	3	upstream	3	CAMK2N1
chr1	20878389	20878485	97	*	X00526	163933	20878932	20881513	2582	+	446	upstream	446	FAM43B
chr1	20879086	20879205	120	*	X00527	163933	20878932	20881513	2582	+	0	inside	153	FAM43B
chr1	21044298	21044417	120	*	X00532	57576	20990507	21044317	53811	-	0	overlapStart	0	KIF17
chr1	21113449	21113523	75	*	X00536	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	21502930	21503109	180	*	X00539	8672	21132785	21503381	370597	-	0	inside	271	EIF4G3
chr1	21672718	21672807	90	*	X00545	1889	21543740	21672034	128295	-	683	upstream	683	ECE1
chr1	21835847	21835956	110	*	X00547	249	21835858	21904905	69048	+	0	overlapStart	0	ALPL
chr1	21995313	21995642	330	*	X00552	5909	21922708	21995856	73149	-	0	inside	213	RAP1GAP
chr1	22263353	22263502	150	*	X00555	3339	22148737	22263750	115014	-	0	inside	247	HSPG2
chr1	22263643	22263927	285	*	X00556	3339	22148737	22263750	115014	-	0	overlapStart	0	HSPG2
chr1	22379391	22379570	180	*	X00557	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	22470088	22470192	105	*	X00563	54361	22443798	22470385	26588	-	0	inside	192	WNT4
chr1	23036620	23036773	154	*	X00565	2048	23037331	23241823	204493	+	557	upstream	557	EPHB2
chr1	23036834	23036983	150	*	X00566	2048	23037331	23241823	204493	+	347	upstream	347	EPHB2
chr1	23037516	23037635	120	*	X00567	2048	23037331	23241823	204493	+	0	inside	184	EPHB2
chr1	23345340	23345444	105	*	X00570	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23670496	23670825	330	*	X00577	10236	23636276	23670853	34578	-	0	inside	27	HNRNPR
chr1	23671126	23671230	105	*	X00578	10236	23636276	23670853	34578	-	272	upstream	272	HNRNPR
chr1	23671711	23671815	105	*	X00579	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671884	5	*	X00580	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23810660	23810773	114	*	X00585	55616	23755056	23811057	56002	-	0	inside	283	ASAP3
chr1	23810892	23811289	398	*	X00586	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
chr1	23857735	23857809	75	*	X00587	1870	23832920	23857712	24793	-	22	upstream	22	E2F2
chr1	23886254	23886403	150	*	X00594	3399	23884421	23886285	1865	-	0	overlapStart	0	ID3
chr1	23886764	23886798	35	*	X00595	3399	23884421	23886285	1865	-	478	upstream	478	ID3
chr1	24104766	24104840	75	*	X00603	57095	24104876	24114722	9847	+	35	upstream	35	PITHD1
chr1	24104766	24104840	75	*	X00603	100506963	24086872	24104787	17916	-	0	overlapStart	0	ELOA-AS1
chr1	24105187	24105321	135	*	X00604	100506963	24086872	24104787	17916	-	399	upstream	399	ELOA-AS1
chr1	24105831	24105944	114	*	X00605	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24117796	24118065	270	*	X00606	11313	24117646	24122029	4384	+	0	inside	149	LYPLA2
chr1	24126996	24127340	345	*	X00610	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24165067	24165118	52	*	X00613	3155	24128367	24165110	36744	-	0	overlapStart	0	HMGCL
chr1	24285739	24285948	210	*	X00615	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24513630	24513809	180	*	X00618	163702	24480647	24513765	33119	-	0	overlapStart	0	IFNLR1
chr1	24514565	24514586	22	*	X00619	163702	24480647	24513765	33119	-	799	upstream	799	IFNLR1
chr1	24645689	24645775	87	*	X00620	57822	24645812	24690970	45159	+	36	upstream	36	GRHL3
chr1	24828721	24828840	120	*	X00622	11123	24828841	24863510	34670	+	0	upstream	0	RCAN3
chr1	24828721	24828840	120	*	X00622	100750325	24822823	24828850	6028	-	0	inside	9	RCAN3AS
chr1	24829208	24829297	90	*	X00623	100750325	24822823	24828850	6028	-	357	upstream	357	RCAN3AS
chr1	24829636	24829710	75	*	X00624	100750325	24822823	24828850	6028	-	785	upstream	785	RCAN3AS
chr1	24882519	24882638	120	*	X00625	400746	24882567	24935818	53252	+	0	overlapStart	0	NCMAP
chr1	24882774	24882953	180	*	X00626	400746	24882567	24935818	53252	+	0	inside	206	NCMAP
chr1	24968541	24968630	90	*	X00627	10250	24969594	24999772	30179	+	963	upstream	963	SRRM1
chr1	25071485	25071522	38	*	X00631	25932	25071760	25170815	99056	+	237	upstream	237	CLIC4
chr1	25559610	25559714	105	*	X00634	25949	25548767	25559013	10247	-	596	upstream	596	SYF2
chr1	25665118	25665222	105	*	X00638	57035	25568740	25664656	95917	-	461	upstream	461	RSRP1
chr1	25757332	25757459	128	*	X00639	55219	25757388	25826698	69311	+	0	overlapStart	0	MACO1
chr1	25757332	25757459	128	*	X00639	6006	25688740	25756683	67944	-	648	upstream	648	RHCE
chr1	25758083	25758202	120	*	X00640	6006	25688740	25756683	67944	-	1399	upstream	1399	RHCE
chr1	25869995	25870129	135	*	X00641	26119	25870076	25895377	25302	+	0	overlapStart	0	LDLRAP1
chr1	25943283	25943402	120	*	X00643	57134	25943959	26111258	167300	+	556	upstream	556	MAN1C1
chr1	26126511	26126563	53	*	X00646	57190	26126667	26144713	18047	+	103	upstream	103	SELENON
chr1	26185429	26185623	195	*	X00650	79000	26160497	26185848	25352	-	0	inside	224	AUNIP
chr1	26185924	26186013	90	*	X00651	79000	26160497	26185848	25352	-	75	upstream	75	AUNIP
chr1	26233226	26233345	120	*	X00656	100500808	26232853	26232945	93	-	280	upstream	280	MIR3917
chr1	26233226	26233345	120	*	X00656	3925	26210677	26233368	22692	-	0	inside	22	STMN1
chr1	26324244	26324408	165	*	X00657	5051	26286258	26324648	38391	-	0	inside	239	PAFAH2
chr1	26373099	26373233	135	*	X00660	7780	26364514	26372604	8091	-	494	upstream	494	SLC30A2
